KDA,CSPERMIN,GOLDINMIN15,GOLDIN30MIN,RATING
1.4,5.5,1824,2305,Neutral_Game
2,5.7,-807,-3616,Opponent_Domination
5,6.7,1035,3652,Snowball
5.4,7.3,-107,1997,Snowball
7,6.6,1532,2160,Good_In_Every_Phase
0.54,4.6,-4562,-7681,Opponent_Domination
0.33,3.4,-2706,-4609,Opponent_Domination
3.71,7.8,1238,4366,Snowball
0.67,7.6,-125,772,Neutral_Game
1.75,6.6,1620,1595,Good_In_Every_Phase
1.11,4.6,-1555,-4396,Opponent_Domination
3.67,6.7,4304,5932,Snowball
2.08,5.3,2047,3011,Good_In_Every_Phase
0.92,5.7,391,-964,Neutral_Game
1.33,5.4,-146,-4865,Early_Game_Player
3.25,5.5,-105,1772,Late_Game_Player
2.14,6,1410,934,Good_In_Every_Phase
1.4,5.9,-1104,-2716,Neutral_Game
2.7,4.9,-1195,-703,Neutral_Game
2.1,3.9,-3456,-4246,Opponent_Domination
1.65,5.1,-11,-1661,Early_Game_Player
3.5,6.6,-1221,-5583,Early_Game_Player
4,6.5,-262,-897,Good_In_Every_Phase
2,6.1,680,2361,Good_In_Every_Phase
3.2,7.9,698,2076,Good_In_Every_Phase
4.6,7.4,2062,4659,Snowball
1.36,6.5,2506,2001,Neutral_Game
3.5,6.9,2620,4471,Snowball
7,9.1,1189,4592,Snowball
4.83,6.3,4748,6272,Snowball
1.29,5.9,1718,2029,Neutral_Game
3.33,7.1,1531,3149,Snowball
1.71,5.4,-1927,-2261,Neutral_Game
2.33,5.4,620,-2298,Early_Game_Player
0.82,6.6,-920,-356,Good_In_Every_Phase
1,5,-651,-1026,Neutral_Game
2.43,8.1,1748,3060,Late_Game_Player
1.8,6.8,617,1156,Neutral_Game
3.88,6.4,2791,4336,Snowball
4.75,7.4,3144,11811,Snowball
0.88,6.1,-1912,-5470,Opponent_Domination
1.29,4.8,-2081,-3035,Opponent_Domination
2,6,-1770,-4121,Opponent_Domination
9,6.8,-2331,-4278,Opponent_Domination
2.23,8.1,1637,1268,Good_In_Every_Phase
2.11,7.9,-2673,-421,Late_Game_Player
2.14,7.6,-417,-1600,Early_Game_Player
0.5,6.6,-1303,-5430,Opponent_Domination
2.8,7,-1718,-1567,Good_In_Every_Phase
3.83,7.3,343,3509,Late_Game_Player
1.29,6.7,-574,-2453,Early_Game_Player
4.6,7.9,1010,5118,Snowball
2,5.1,986,1694,Neutral_Game
1,8.1,318,-1805,Early_Game_Player
12.5,8.6,2274,6692,Snowball
1.25,7.5,151,-623,Neutral_Game
1.27,5.5,205,-244,Neutral_Game
4.8,8.4,1498,8441,Snowball
